Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-09-22T13:44:57.146Z","","","Included","auto","No","0","81840","62720","1508","146068","Included"
"2026-09-22T13:26:55.317Z","","","Included","auto","No","","","","","","Free"
"2026-09-22T13:26:33.619Z","","","Included","auto","No","","","","","","Free"
"2026-09-22T13:26:13.639Z","","","Included","auto","No","","","","","","Free"
"2026-09-22T13:24:15.389Z","","","Included","auto","No","0","429","88448","58","88935","Included"
"2026-09-22T13:18:27.794Z","","","Included","auto","No","0","749","87808","66","88623","Included"
"2026-09-22T13:11:55.616Z","","","Included","auto","No","0","245924","1643136","9915","1898975","Included"
"2026-09-22T13:10:51.065Z","","","Included","auto","No","0","9951","140416","2287","152654","Included"
"2026-09-22T12:55:36.115Z","","","Included","auto","No","0","36915","86912","2673","126500","Included"
"2026-09-22T12:55:35.604Z","","","Included","auto","No","0","15379","98176","3357","116912","Included"
"2026-09-22T12:55:27.705Z","","","Included","auto","No","0","60028","38400","3796","102224","Included"
"2026-09-22T12:54:23.866Z","","","Included","auto","No","","","","","","Free"
"2026-09-22T12:29:59.775Z","","","Included","auto","No","0","64638","29952","532","95122","Included"
"2026-09-22T12:25:22.625Z","","","Included","auto","No","0","79013","39040","1100","119153","Included"
"2026-09-22T12:21:16.792Z","","","Included","auto","No","0","21769","37632","332","59733","Included"
"2026-09-22T12:17:46.656Z","","","Included","auto","No","0","44301","160128","2627","207056","Included"
"2026-09-22T12:16:05.850Z","","","Included","auto","No","0","29028","10368","1581","40977","Included"
"2026-09-22T12:12:58.514Z","","","Included","auto","No","0","26976","43264","308","70548","Included"
"2026-09-22T11:56:09.135Z","","","Included","auto","No","0","98830","122752","1585","223167","Included"
"2026-09-22T11:53:04.782Z","","","Included","auto","No","0","25968","26496","1397","53861","Included"
"2026-09-22T11:50:26.526Z","","","Included","auto","No","0","57660","48128","2480","108268","Included"
"2026-09-22T11:50:19.682Z","","","Included","auto","No","0","56312","29568","1759","87639","Included"
"2026-09-22T11:42:12.946Z","","","Included","auto","No","0","24341","101632","1675","127648","Included"
"2026-09-22T10:01:21.986Z","","","Included","auto","No","0","51987","183808","3624","239419","Included"
"2026-09-22T09:56:12.073Z","","","Included","auto","No","0","24959","88448","4086","117493","Included"
"2026-09-22T09:55:32.688Z","","","Included","auto","No","","","","","","Free"
"2026-09-22T09:53:10.646Z","","","Included","auto","No","","","","","","Free"
"2026-09-21T15:29:15.781Z","","","Included","auto","No","0","37837","54272","269","92378","Included"
"2026-09-21T15:21:36.862Z","","","Included","auto","No","0","35418","284928","2202","322548","Included"
"2026-09-21T15:20:52.963Z","","","Included","auto","No","0","5555","127872","313","133740","Included"
"2026-09-21T15:19:53.436Z","","","Included","auto","No","0","28697","24320","1352","54369","Included"
"2026-09-21T15:13:08.225Z","","","Included","auto","No","0","27257","35840","736","63833","Included"
"2026-09-21T15:02:04.267Z","","","Included","auto","No","0","36505","41984","756","79245","Included"
"2026-09-21T15:00:43.100Z","","","Included","auto","No","0","9128","43776","696","53600","Included"
"2026-09-21T14:58:16.245Z","","","Included","auto","No","0","2898","119040","544","122482","Included"
"2026-09-21T14:56:44.238Z","","","Included","auto","No","0","29811","110336","3119","143266","Included"
"2026-09-21T14:53:00.860Z","","","Included","auto","No","0","18975","70272","708","89955","Included"
"2026-09-21T14:51:28.216Z","","","Included","auto","No","0","9362","59392","998","69752","Included"
"2026-09-20T15:12:23.035Z","","","Included","auto","No","0","195797","210432","373","406602","Included"
"2026-09-20T14:35:58.934Z","","","Included","auto","No","0","43395","3588480","18284","3650159","Included"
"2026-09-20T14:15:23.175Z","","","Included","auto","No","0","280624","5189760","37856","5508240","Included"
"2026-09-20T14:11:22.122Z","","","Included","auto","No","0","56156","407680","8345","472181","Included"
"2026-09-20T14:11:21.110Z","","","Included","auto","No","0","85205","133888","4648","223741","Included"
"2026-09-20T14:11:08.332Z","","","Included","auto","No","0","41517","168192","3876","213585","Included"
"2026-09-19T02:51:49.109Z","","","Included","auto","No","0","35323","30336","518","66177","Included"
"2026-09-19T02:49:35.220Z","","","Included","auto","No","0","11350","44672","2185","58207","Included"
"2026-09-17T15:22:14.271Z","","","Included","auto","No","0","107846","239104","406","347356","Included"
"2026-09-17T15:05:31.626Z","","","Included","auto","No","0","166220","2733696","31824","2931740","Included"
"2026-09-17T15:00:30.534Z","","","Included","auto","No","0","52444","265216","4802","322462","Included"
"2026-09-17T15:00:30.318Z","","","Included","auto","No","0","48494","128640","3479","180613","Included"
"2026-09-17T15:00:18.803Z","","","Included","auto","No","0","28543","204672","4838","238053","Included"
"2026-09-17T14:56:09.714Z","","","Included","auto","No","0","160914","160640","369","321923","Included"
"2026-09-17T14:50:05.388Z","","","Included","auto","No","0","5325","313984","303","319612","Included"
"2026-09-17T14:26:00.416Z","","","Included","auto","No","0","271020","6416256","45860","6733136","Included"
"2026-09-17T14:23:40.078Z","","","Included","auto","No","0","11682","165248","3391","180321","Included"
"2026-09-17T14:19:03.626Z","","","Included","auto","No","0","76631","366720","5907","449258","Included"
"2026-09-17T14:18:48.802Z","","","Included","auto","No","0","37278","161664","2903","201845","Included"
"2026-09-17T14:01:50.955Z","","","Included","auto","No","0","34038","29568","495","64101","Included"
"2026-09-17T14:00:00.703Z","","","Included","auto","No","0","19731","28288","550","48569","Included"
